CalcID,UnitID,xmlName,SensorID,Index,ShortName,FullName,Observed in instrument,Unit,FriendlyName,Min,Max,Seasave,DatCnv,ASCII_IN,NOTES,R2R_911
1,29,AltimeterSensor,0,,altM,Altimeter [m],,m,alt M,0.000000,100.000000,yes,yes,yes,,yes
5,46,TransChelseaSeatechWetlabCStarSensor,59,,xmiss,"Beam Transmission, Chelsea/Seatech [%]",,%,xmiss,0.000000,100.000000,yes,yes,yes,,yes
6,46,TransWetlabAC3Sensor,60,,wetBTrans,"Beam Transmission, WET Labs AC3 [%]",,%,wetBTrans,0.000000,100.000000,yes,yes,yes,,yes
179,46,WET_LabsCStar,71,,CStarTr0,"Beam Transmission, WET Labs C-Star [%]",,%,CStarTr,0.000000,1000.000000,yes,yes,yes,Seasave supports as many as 6,yes
12,58,ConductivitySensor,3,1,c0S/m,Conductivity [S/m],"SBE4/9plus, SBE25",S/m,c S/m,0.000000,7.000000,yes,yes,yes,,yes
70,49,,3,1,sal00,"Salinity, Practical [PSU]",derived,PSU,sal,26.000000,36.000000,yes,yes,yes,,yes
15,11,,3,1,density00,"Density [density, kg/m^3]",derived,"density, kg/m^3",density,99.000000,1100.000000,yes,yes,yes,,yes
21,-1,FluoroBiosphericalSensor,4,,naFluor,"Fluorescence, Biospherical Natural",,NO_UNIT,naFluor,0.000000,100.000000,yes,yes,yes,,yes
24,60,FluoroChelseaAqua3Sensor,5,,flC,"Fluorescence, Chelsea Aqua 3 Chl Con [ug/l]",,ug/l,flC,0.000000,100.000000,yes,yes,yes,,yes
25,60,FluoroChelseaMinitrackaSensor,6,,flCM,"Fluorescence, Chelsea Mini Chl Con [ug/l]",,ug/l,flCM,0.000000,100.000000,yes,yes,yes,,yes
113,60,FluoroChelseaUV_AquaSensor,7,,flCUVA,"Fluorescence, Chelsea UV Aquatracka [ug/l]",,ug/l,flCUVA,0.000000,100.000000,yes,yes,yes,,yes
26,-1,FluoroDrHaardtChloroSensor,8,,haardtC,"Fluorescence, Dr. Haardt Chlorophyll a",,NO_UNIT,haardtC,0.000000,100.000000,yes,yes,yes,,yes
27,-1,FluoroDrHaardtPhycoSensor,9,,haardtP,"Fluorescence, Dr. Haardt Phycoerythrin",,NO_UNIT,haardtP,0.000000,100.000000,yes,yes,yes,,yes
28,-1,FluoroDrHaardtYellowSensor,10,,haardtY,"Fluorescence, Dr. Haardt Yellow Sub",,NO_UNIT,haardtY,0.000000,100.000000,yes,yes,yes,,yes
